0-att_sum,1-att_sum,2-att_sum,3-att_sum,4-att_sum,5-att_sum,6-att_sum,0-att_cnt,1-att_cnt,2-att_cnt,3-att_cnt,4-att_cnt,5-att_cnt,6-att_cnt,0-att_sum_min,1-att_sum_min,2-att_sum_min,3-att_sum_min,4-att_sum_min,5-att_sum_min,6-att_sum_min,0-att_sum_max,1-att_sum_max,2-att_sum_max,3-att_sum_max,4-att_sum_max,5-att_sum_max,6-att_sum_max,0-att_sum_avg,1-att_sum_avg,2-att_sum_avg,3-att_sum_avg,4-att_sum_avg,5-att_sum_avg,6-att_sum_avg,7-att_sum
40250.37,68749.17,85704.82,110808.44,130736.3,144742.44,167201.44,74.0,125.0,160.0,206.0,241.0,272.0,323.0,36.0,80.0,143.0,60.0,10.0,25.0,30.0,1524.0,1460.0,1647.0,1958.0,1685.26,1846.0,2190.0,543.9239189189188,549.9933599999998,535.655125,537.9050485436893,542.4742738589212,532.1413235294118,517.6515170278637,186950.68
1353.19,1353.19,1353.19,1353.19,1353.19,1353.19,1353.19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,1353.19
1181.93,4500.89,5146.35,5146.35,5146.35,5146.35,5146.35,7.0,10.0,13.0,13.0,13.0,13.0,13.0,83.88,149.98,114.88,0.0,0.0,0.0,0.0,554.38,3000.0,363.0,0.0,0.0,0.0,0.0,168.84714285714287,450.08900000000006,395.87307692307695,395.87307692307695,395.87307692307695,395.87307692307695,395.87307692307695,5262.34
4537.42,6081.42,8934.42,18925.42,22368.52,22368.52,22368.52,22.0,33.0,48.0,73.0,90.0,90.0,90.0,100.0,29.0,40.0,29.0,29.0,0.0,0.0,636.64,261.0,388.0,2324.4,1142.1,0.0,0.0,206.24636363636364,184.2854545454545,186.13375,259.2523287671233,248.5391111111111,248.5391111111111,248.5391111111111,22368.52
1617.87,1926.09,2335.89,3978.8,10852.25,62360.67,65489.42,3.0,5.0,6.0,8.0,12.0,25.0,30.0,380.37,129.7,409.8,518.47,712.27,300.0,362.5,644.5,178.52,409.8,1124.44,3980.0,43944.0,829.02,539.29,385.218,389.315,497.35,904.3541666666665,2494.4268,2182.980666666667,68130.92
4780.16,5600.33,10409.4,17804.67,20250.0,25650.2,33471.54,21.0,26.0,44.0,67.0,79.0,108.0,137.0,16.0,22.0,16.0,19.98,15.0,16.0,16.0,700.29,444.67,910.0,1128.1,582.82,634.67,1161.31,227.6266666666667,215.3973076923077,236.57727272727269,265.74134328358207,256.32911392405066,237.50185185185185,244.31781021897808,52806.35000000001
4767.95,5322.95,8443.88,17004.75,25721.23,26382.23,27939.41,3.0,4.0,7.0,16.0,22.0,24.0,28.0,712.5,555.0,710.0,140.0,64.0,85.0,160.0,3455.45,555.0,1290.33,3161.13,4178.48,576.0,900.0,1589.3166666666666,1330.7375,1206.2685714285712,1062.796875,1169.1468181818182,1099.2595833333332,997.8360714285716,32585.06
1618.08,7935.25,11110.85,14329.11,14329.11,14329.11,14329.11,6.0,15.0,24.0,32.0,32.0,32.0,32.0,0.0,216.0,67.0,70.0,0.0,0.0,0.0,0.0,1364.0,755.0,602.6,0.0,0.0,0.0,269.68,529.0166666666668,462.95208333333335,447.7846875,447.7846875,447.7846875,447.7846875,14329.11
15078.31,17917.710000000006,22058.000000000004,28167.130000000005,31628.85000000001,31628.85000000001,36287.45,37.0,51.0,71.0,108.0,130.0,130.0,156.0,35.0,33.0,39.0,24.6,3.0,0.0,2.0,2075.02,391.0,719.99,410.8,391.0,0.0,634.5,407.52189189189187,351.32764705882363,310.67605633802816,260.8067592592593,243.29884615384617,243.29884615384617,232.61185897435902,41286.750000000015
1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1
