0-att_sum,1-att_sum,2-att_sum,3-att_sum,4-att_sum,5-att_sum,6-att_sum,0-att_cnt,1-att_cnt,2-att_cnt,3-att_cnt,4-att_cnt,5-att_cnt,6-att_cnt,0-att_sum_min,1-att_sum_min,2-att_sum_min,3-att_sum_min,4-att_sum_min,5-att_sum_min,6-att_sum_min,0-att_sum_max,1-att_sum_max,2-att_sum_max,3-att_sum_max,4-att_sum_max,5-att_sum_max,6-att_sum_max,0-att_sum_avg,1-att_sum_avg,2-att_sum_avg,3-att_sum_avg,4-att_sum_avg,5-att_sum_avg,6-att_sum_avg,7-att_sum
16793.0,40250.37,68749.17,85704.82,110808.44,130736.3,144742.44,34.0,74.0,125.0,160.0,206.0,241.0,272.0,27.0,36.0,80.0,143.0,60.0,10.0,25.0,4075.0,1524.0,1460.0,1647.0,1958.0,1685.26,1846.0,493.9117647058823,543.9239189189188,549.9933599999998,535.655125,537.9050485436893,542.4742738589212,532.1413235294118,167201.44
1353.19,1353.19,1353.19,1353.19,1353.19,1353.19,1353.19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,516.8,0.0,0.0,0.0,0.0,0.0,0.0,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,1353.19
266.45,1181.93,4500.89,5146.35,5146.35,5146.35,5146.35,3.0,7.0,10.0,13.0,13.0,13.0,13.0,66.0,83.88,149.98,114.88,0.0,0.0,0.0,116.69,554.38,3000.0,363.0,0.0,0.0,0.0,88.81666666666666,168.84714285714287,450.08900000000006,395.87307692307695,395.87307692307695,395.87307692307695,395.87307692307695,5146.35
304.0,4537.42,6081.42,8934.42,18925.42,22368.52,22368.52,2.0,22.0,33.0,48.0,73.0,90.0,90.0,149.0,100.0,29.0,40.0,29.0,29.0,0.0,155.0,636.64,261.0,388.0,2324.4,1142.1,0.0,152.0,206.24636363636364,184.2854545454545,186.13375,259.2523287671233,248.5391111111111,248.5391111111111,22368.52
593.0,1617.87,1926.09,2335.89,3978.8,10852.25,62360.67,1.0,3.0,5.0,6.0,8.0,12.0,25.0,593.0,380.37,129.7,409.8,518.47,712.27,300.0,593.0,644.5,178.52,409.8,1124.44,3980.0,43944.0,593.0,539.29,385.218,389.315,497.35,904.3541666666665,2494.4268,65489.42
1674.27,4780.16,5600.33,10409.4,17804.67,20250.0,25650.2,6.0,21.0,26.0,44.0,67.0,79.0,108.0,108.0,16.0,22.0,16.0,19.98,15.0,16.0,563.5,700.29,444.67,910.0,1128.1,582.82,634.67,279.045,227.6266666666667,215.3973076923077,236.57727272727269,265.74134328358207,256.32911392405066,237.50185185185185,33471.54
600.0,4767.95,5322.95,8443.88,17004.75,25721.23,26382.23,1.0,3.0,4.0,7.0,16.0,22.0,24.0,600.0,712.5,555.0,710.0,140.0,64.0,85.0,600.0,3455.45,555.0,1290.33,3161.13,4178.48,576.0,600.0,1589.3166666666666,1330.7375,1206.2685714285712,1062.796875,1169.1468181818182,1099.2595833333332,27939.41
1618.08,1618.08,7935.25,11110.85,14329.11,14329.11,14329.11,6.0,6.0,15.0,24.0,32.0,32.0,32.0,50.0,0.0,216.0,67.0,70.0,0.0,0.0,952.58,0.0,1364.0,755.0,602.6,0.0,0.0,269.68,269.68,529.0166666666668,462.95208333333335,447.7846875,447.7846875,447.7846875,14329.11
1651.29,15078.31,17917.710000000006,22058.000000000004,28167.130000000005,31628.85000000001,31628.85000000001,5.0,37.0,51.0,71.0,108.0,130.0,130.0,171.78,35.0,33.0,39.0,24.6,3.0,0.0,712.56,2075.02,391.0,719.99,410.8,391.0,0.0,330.25800000000004,407.52189189189187,351.32764705882363,310.67605633802816,260.8067592592593,243.29884615384617,243.29884615384617,36287.45
1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1114.1,0.0,0.0,0.0,0.0,0.0,0.0,1114.1,0.0,0.0,0.0,0.0,0.0,0.0,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1
1095.9,35737.85,46534.62,52043.99999999999,64488.28999999999,68485.04,68485.04,4.0,54.0,74.0,89.0,112.0,118.0,118.0,193.0,79.8,112.0,34.0,156.0,252.0,0.0,423.1,3261.36,4119.42,815.96,1624.54,1800.0,0.0,273.975,661.8120370370369,628.8462162162161,584.7640449438203,575.7883035714285,580.3816949152543,580.3816949152543,68485.04
998.58,998.58,998.58,998.58,998.58,998.58,1786.41,4.0,4.0,4.0,4.0,4.0,4.0,7.0,112.0,0.0,0.0,0.0,0.0,0.0,173.7,336.0,0.0,0.0,0.0,0.0,0.0,434.13,249.645,249.645,249.645,249.645,249.645,249.645,255.20142857142858,2002.41
8803.99,21414.44,33633.4,47397.33,58524.31,68611.53,89898.47,39.0,83.0,113.0,149.0,186.0,221.0,279.0,20.0,25.0,86.0,26.0,50.0,22.0,54.0,1958.32,2525.59,3912.15,1821.41,1116.0,1013.9,3414.65,225.7433333333333,258.0053012048193,297.6407079646018,318.1028859060403,314.64682795698917,310.4594117647058,322.2167383512545,100046.07
2589.01,14041.73,17243.829999999998,20448.87,23883.05,29501.28,35634.67,7.0,41.0,55.0,64.0,72.0,87.0,114.0,96.0,27.9,33.7,114.0,114.0,23.0,21.99,740.13,2017.6,1040.0,708.07,1268.47,1336.7,1057.05,369.85857142857145,342.4812195121952,313.5241818181818,319.51359375,331.70902777777775,339.0951724137931,312.5848245614035,37462.12
259.55,259.55,259.55,1661.95,7618.6799999999985,11138.98,19923.43,1.0,1.0,1.0,8.0,21.0,32.0,46.0,259.55,0.0,0.0,30.0,40.0,50.0,45.0,259.55,0.0,0.0,560.0,2115.0,689.0,2000.0,259.55,259.55,259.55,207.74375,362.79428571428565,348.093125,433.11804347826086,27670.99
15754.66,29163.34,49050.42,74141.09,97777.14,109208.28,134150.53,11.0,22.0,50.0,73.0,99.0,112.0,137.0,90.0,6.0,114.0,55.0,80.0,100.0,68.0,3758.97,3149.0,3361.99,4640.67,2940.56,2137.0,3719.0,1432.2418181818182,1325.6063636363635,981.0084,1015.6313698630136,987.6478787878788,975.0739285714287,979.2009489051096,178528.68
626.56,1264.3,1264.3,1264.3,1264.3,3347.08,9842.62,2.0,4.0,4.0,4.0,4.0,6.0,14.0,65.0,157.0,0.0,0.0,0.0,1003.08,87.2,561.56,480.74,0.0,0.0,0.0,1079.7,1688.32,313.28,316.075,316.075,316.075,316.075,557.8466666666667,703.0442857142856,16923.44
8523.93,21934.41,39799.78,76018.89,95551.42,104925.41,116873.0,24.0,51.0,82.0,139.0,181.0,199.0,227.0,47.61,53.01,46.9,1.09,40.0,69.99,69.89,1156.05,1293.59,2415.0,2241.52,1328.8,1106.39,1594.54,355.16375,430.08647058823533,485.3631707317073,546.8984892086331,527.9083977900551,527.2633668341708,514.8590308370044,135130.76
6633.78,6633.78,7404.48,7404.48,7404.48,7404.48,7404.48,6.0,6.0,8.0,8.0,8.0,8.0,8.0,560.66,0.0,84.0,0.0,0.0,0.0,0.0,1805.0,0.0,686.7,0.0,0.0,0.0,0.0,1105.63,1105.63,925.56,925.56,925.56,925.56,925.56,7404.48
17739.94,36813.41,46842.35000000001,58592.54000000001,72867.42000000001,94116.43,103342.1,80.0,161.0,198.0,231.0,286.0,357.0,400.0,25.39,25.39,62.98,35.0,5.0,20.0,15.0,1399.58,900.0,1286.62,2139.64,850.13,4790.0,858.07,221.74925,228.65472049689444,236.5775252525253,253.64735930735932,254.78118881118885,263.631456582633,258.35525,117781.23
1595.9,3312.53,3312.53,6392.21,8867.61,10263.82,11456.0,2.0,4.0,4.0,10.0,16.0,20.0,24.0,306.9,304.63,0.0,212.8,119.7,17.49,130.0,1289.0,1412.0,0.0,1180.8,746.97,966.54,729.88,797.95,828.1325,828.1325,639.221,554.225625,513.191,477.33333333333326,11456.0
8461.85,18004.559999999998,18004.559999999998,18004.559999999998,18004.559999999998,18004.559999999998,18004.559999999998,20.0,44.0,44.0,44.0,44.0,44.0,44.0,27.0,5.9,0.0,0.0,0.0,0.0,0.0,1540.62,2206.13,0.0,0.0,0.0,0.0,0.0,423.0925,409.1945454545454,409.1945454545454,409.1945454545454,409.1945454545454,409.1945454545454,409.1945454545454,18004.559999999998
12688.89,15595.97,25323.67,39022.77,43876.57,52355.71,66848.09,24.0,31.0,48.0,75.0,89.0,105.0,130.0,51.3,65.0,69.94,39.99,73.0,43.0,4.0,1328.27,1458.0,1684.82,1909.4,1012.72,1954.0,2835.01,528.70375,503.0958064516129,527.5764583333333,520.3036,492.9951685393258,498.6258095238095,514.2160769230769,72239.93
