0-att_sum,1-att_sum,2-att_sum,3-att_sum,4-att_sum,5-att_sum,6-att_sum,0-att_cnt,1-att_cnt,2-att_cnt,3-att_cnt,4-att_cnt,5-att_cnt,6-att_cnt,0-att_sum_min,1-att_sum_min,2-att_sum_min,3-att_sum_min,4-att_sum_min,5-att_sum_min,6-att_sum_min,0-att_sum_max,1-att_sum_max,2-att_sum_max,3-att_sum_max,4-att_sum_max,5-att_sum_max,6-att_sum_max,0-att_sum_avg,1-att_sum_avg,2-att_sum_avg,3-att_sum_avg,4-att_sum_avg,5-att_sum_avg,6-att_sum_avg,7-att_sum
110808.44,130736.3,144742.44,167201.44,186950.68,204058.68,232027.98,206.0,241.0,272.0,323.0,356.0,394.0,458.0,60.0,10.0,25.0,30.0,6.0,10.0,20.0,1958.0,1685.26,1846.0,2190.0,6331.34,2945.0,5070.0,537.9050485436893,542.4742738589212,532.1413235294118,517.6515170278637,525.1423595505619,517.9154314720812,506.61131004366814,255785.98
1353.19,1353.19,1353.19,1353.19,1353.19,1353.19,1353.19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,1353.19
5146.35,5146.35,5146.35,5146.35,5262.34,5262.34,5440.91,13.0,13.0,13.0,13.0,15.0,15.0,17.0,0.0,0.0,0.0,0.0,39.99,0.0,59.9,0.0,0.0,0.0,0.0,76.0,0.0,118.67,395.87307692307695,395.87307692307695,395.87307692307695,395.87307692307695,350.8226666666667,350.8226666666667,320.05352941176466,5440.91
18925.42,22368.52,22368.52,22368.52,22368.52,22368.52,22368.52,73.0,90.0,90.0,90.0,90.0,90.0,90.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,2324.4,1142.1,0.0,0.0,0.0,0.0,0.0,259.2523287671233,248.5391111111111,248.5391111111111,248.5391111111111,248.5391111111111,248.5391111111111,248.5391111111111,22368.52
3978.8,10852.25,62360.67,65489.42,68130.92,95761.61,108584.69,8.0,12.0,25.0,30.0,32.0,50.0,66.0,518.47,712.27,300.0,362.5,319.5,19.9,79.9,1124.44,3980.0,43944.0,829.02,2322.0,12834.0,3563.35,497.35,904.3541666666665,2494.4268,2182.980666666667,2129.09125,1915.2322,1645.222575757576,119731.17
17804.67,20250.0,25650.2,33471.54,52806.35000000001,52806.35000000001,52806.35000000001,67.0,79.0,108.0,137.0,172.0,172.0,172.0,19.98,15.0,16.0,16.0,23.0,0.0,0.0,1128.1,582.82,634.67,1161.31,9025.0,0.0,0.0,265.74134328358207,256.32911392405066,237.50185185185185,244.31781021897808,307.01366279069765,307.01366279069765,307.01366279069765,52806.35000000001
17004.75,25721.23,26382.23,27939.41,32585.06,33585.06,33585.06,16.0,22.0,24.0,28.0,36.0,37.0,37.0,140.0,64.0,85.0,160.0,70.0,1000.0,0.0,3161.13,4178.48,576.0,900.0,2071.46,1000.0,0.0,1062.796875,1169.1468181818182,1099.2595833333332,997.8360714285716,905.1405555555556,907.7043243243244,907.7043243243244,33585.06
14329.11,14329.11,14329.11,14329.11,14329.11,14329.11,14329.11,32.0,32.0,32.0,32.0,32.0,32.0,32.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,602.6,0.0,0.0,0.0,0.0,0.0,0.0,447.7846875,447.7846875,447.7846875,447.7846875,447.7846875,447.7846875,447.7846875,14329.11
28167.130000000005,31628.85000000001,31628.85000000001,36287.45,41286.750000000015,44454.31000000001,45529.37,108.0,130.0,130.0,156.0,179.0,199.0,205.0,24.6,3.0,0.0,2.0,16.0,29.0,87.49,410.8,391.0,0.0,634.5,1100.6,589.1,410.58,260.8067592592593,243.29884615384617,243.29884615384617,232.61185897435902,230.65223463687155,223.3884924623116,222.09448780487807,47526.15
1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1
