0-att_sum,1-att_sum,2-att_sum,3-att_sum,4-att_sum,5-att_sum,6-att_sum,0-att_cnt,1-att_cnt,2-att_cnt,3-att_cnt,4-att_cnt,5-att_cnt,6-att_cnt,0-att_sum_min,1-att_sum_min,2-att_sum_min,3-att_sum_min,4-att_sum_min,5-att_sum_min,6-att_sum_min,0-att_sum_max,1-att_sum_max,2-att_sum_max,3-att_sum_max,4-att_sum_max,5-att_sum_max,6-att_sum_max,0-att_sum_avg,1-att_sum_avg,2-att_sum_avg,3-att_sum_avg,4-att_sum_avg,5-att_sum_avg,6-att_sum_avg,7-att_sum
130736.3,144742.44,167201.44,186950.68,204058.68,232027.98,255785.98,241.0,272.0,323.0,356.0,394.0,458.0,517.0,10.0,25.0,30.0,6.0,10.0,20.0,20.0,1685.26,1846.0,2190.0,6331.34,2945.0,5070.0,2213.0,542.4742738589212,532.1413235294118,517.6515170278637,525.1423595505619,517.9154314720812,506.61131004366814,494.7504448742746,270825.98
1353.19,1353.19,1353.19,1353.19,1353.19,1353.19,1353.19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,1353.19
5146.35,5146.35,5146.35,5262.34,5262.34,5440.91,5440.91,13.0,13.0,13.0,15.0,15.0,17.0,17.0,0.0,0.0,0.0,39.99,0.0,59.9,0.0,0.0,0.0,0.0,76.0,0.0,118.67,0.0,395.87307692307695,395.87307692307695,395.87307692307695,350.8226666666667,350.8226666666667,320.05352941176466,320.05352941176466,5440.91
22368.52,22368.52,22368.52,22368.52,22368.52,22368.52,22368.52,90.0,90.0,90.0,90.0,90.0,90.0,90.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1142.1,0.0,0.0,0.0,0.0,0.0,0.0,248.5391111111111,248.5391111111111,248.5391111111111,248.5391111111111,248.5391111111111,248.5391111111111,248.5391111111111,22368.52
10852.25,62360.67,65489.42,68130.92,95761.61,108584.69,119731.17,12.0,25.0,30.0,32.0,50.0,66.0,78.0,712.27,300.0,362.5,319.5,19.9,79.9,59.0,3980.0,43944.0,829.02,2322.0,12834.0,3563.35,1929.03,904.3541666666665,2494.4268,2182.980666666667,2129.09125,1915.2322,1645.222575757576,1535.015,131291.0
20250.0,25650.2,33471.54,52806.35000000001,52806.35000000001,52806.35000000001,52806.35000000001,79.0,108.0,137.0,172.0,172.0,172.0,172.0,15.0,16.0,16.0,23.0,0.0,0.0,0.0,582.82,634.67,1161.31,9025.0,0.0,0.0,0.0,256.32911392405066,237.50185185185185,244.31781021897808,307.01366279069765,307.01366279069765,307.01366279069765,307.01366279069765,52806.35000000001
25721.23,26382.23,27939.41,32585.06,33585.06,33585.06,33585.06,22.0,24.0,28.0,36.0,37.0,37.0,37.0,64.0,85.0,160.0,70.0,1000.0,0.0,0.0,4178.48,576.0,900.0,2071.46,1000.0,0.0,0.0,1169.1468181818182,1099.2595833333332,997.8360714285716,905.1405555555556,907.7043243243244,907.7043243243244,907.7043243243244,33585.06
14329.11,14329.11,14329.11,14329.11,14329.11,14329.11,14329.11,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.7846875,447.7846875,447.7846875,447.7846875,447.7846875,447.7846875,447.7846875,14329.11
31628.85000000001,31628.85000000001,36287.45,41286.750000000015,44454.31000000001,45529.37,47526.15,130.0,130.0,156.0,179.0,199.0,205.0,216.0,3.0,0.0,2.0,16.0,29.0,87.49,40.0,391.0,0.0,634.5,1100.6,589.1,410.58,625.8,243.29884615384617,243.29884615384617,232.61185897435902,230.65223463687155,223.3884924623116,222.09448780487807,220.02847222222226,49860.82
1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1
68485.04,68485.04,68485.04,68485.04,68485.04,68485.04,68485.04,118.0,118.0,118.0,118.0,118.0,118.0,118.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,580.3816949152543,580.3816949152543,580.3816949152543,580.3816949152543,580.3816949152543,580.3816949152543,580.3816949152543,68485.04
998.58,1786.41,2002.41,2002.41,2002.41,2987.390000000001,2987.390000000001,4.0,7.0,8.0,8.0,8.0,13.0,13.0,0.0,173.7,216.0,0.0,0.0,54.0,0.0,0.0,434.13,216.0,0.0,0.0,424.0,0.0,249.645,255.20142857142858,250.30125,250.30125,250.30125,229.7992307692308,229.7992307692308,2987.390000000001
68611.53,89898.47,100046.07,122242.34,139652.90000000002,156938.52000000002,176426.93000000005,221.0,279.0,316.0,362.0,403.0,454.0,490.0,22.0,54.0,5.0,5.4,1.0,20.0,8.0,1013.9,3414.65,1165.94,3353.5,6801.98,1272.39,5683.0,310.4594117647058,322.2167383512545,316.6014873417722,337.68602209944754,346.53325062034753,345.6795594713657,360.05495918367353,209090.68
29501.28,35634.67,37462.12,37462.12,40843.19,44986.95999999999,44986.95999999999,87.0,114.0,117.0,117.0,136.0,150.0,150.0,23.0,21.99,14.99,0.0,18.39,29.99,0.0,1336.7,1057.05,1569.11,0.0,628.19,691.63,0.0,339.0951724137931,312.5848245614035,320.18905982905983,320.18905982905983,300.31757352941173,299.9130666666666,299.9130666666666,44986.95999999999
11138.98,19923.43,27670.99,30375.99,39674.78,51543.43,60081.06,32.0,46.0,56.0,61.0,81.0,96.0,111.0,50.0,45.0,56.0,150.0,51.8,25.0,80.0,689.0,2000.0,1743.0,1755.0,1568.25,2011.3,3426.12,348.093125,433.11804347826086,494.12482142857147,497.96704918032793,489.81209876543215,536.9107291666667,541.2708108108108,74590.13
